time_s,stage,pressure,volume,displacement,transducers,cell_pressure,back_pressure,pore_pressure,axial_displacement,cell_volume,back_volume,axial_load,local_axial_1_mv,local_axial_2_mv,local_radial_mv
99.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.144, -0.126, -0.117, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.144,-0.126,-0.117
100.15,B Test,,,,"[-0.255, 8.08, -7.555, -0.125, -0.115, -0.114, -0.001, -0.001]",,,8.08,-7.555,,,-0.255,-0.125,-0.115,-0.114
101.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.13, -0.112, -0.11, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.13,-0.112,-0.11
102.15,B Test,,,,"[-0.255, 8.08, -7.555, -0.126, -0.107, -0.109, -0.001, -0.001]",,,8.08,-7.555,,,-0.255,-0.126,-0.107,-0.109
103.16,B Test,,,,"[-0.258, 8.08, -7.557, -0.129, -0.121, -0.118, -0.001, -0.001]",,,8.08,-7.557,,,-0.258,-0.129,-0.121,-0.118
104.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.136, -0.117, -0.114, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.136,-0.117,-0.114
105.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.139, -0.125, -0.125, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.139,-0.125,-0.125
106.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.14, -0.127, -0.124, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.14,-0.127,-0.124
107.15,B Test,,,,"[-0.255, 8.08, -7.557, -0.154, -0.14, -0.124, -0.001, -0.001]",,,8.08,-7.557,,,-0.255,-0.154,-0.14,-0.124
108.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.158, -0.147, -0.139, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.158,-0.147,-0.139
109.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.147, -0.13, -0.131, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.147,-0.13,-0.131
110.17,B Test,,,,"[-0.255, 8.08, -7.557, -0.147, -0.13, -0.129, -0.001, -0.001]",,,8.08,-7.557,,,-0.255,-0.147,-0.13,-0.129
111.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.148, -0.133, -0.128, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.148,-0.133,-0.128
112.17,B Test,,,,"[-0.255, 8.08, -7.555, -0.139, -0.13, -0.126, -0.001, -0.001]",,,8.08,-7.555,,,-0.255,-0.139,-0.13,-0.126
113.18,B Test,,,,"[-0.256, 8.08, -7.557, -0.156, -0.144, -0.135, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.156,-0.144,-0.135
114.17,B Test,,,,"[-0.255, 8.08, -7.557, -0.14, -0.134, -0.133, -0.001, -0.001]",,,8.08,-7.557,,,-0.255,-0.14,-0.134,-0.133
115.18,B Test,,,,"[-0.256, 8.08, -7.555, -0.142, -0.13, -0.125, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.142,-0.13,-0.125
116.18,B Test,,,,"[-0.256, 8.08, -7.557, -0.139, -0.124, -0.128, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.139,-0.124,-0.128
117.18,B Test,,,,"[-0.256, 8.08, -7.555, -0.143, -0.126, -0.125, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.143,-0.126,-0.125
118.17,B Test,,,,"[-0.255, 8.08, -7.557, -0.146, -0.136, -0.129, -0.001, -0.001]",,,8.08,-7.557,,,-0.255,-0.146,-0.136,-0.129
119.17,B Test,,,,"[-0.255, 8.08, -7.555, -0.147, -0.128, -0.126, -0.001, -0.001]",,,8.08,-7.555,,,-0.255,-0.147,-0.128,-0.126
120.17,B Test,,,,"[-0.256, 8.08, -7.557, -0.146, -0.133, -0.127, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.146,-0.133,-0.127
