time_s,stage,pressure,volume,displacement,transducers,cell_pressure,back_pressure,pore_pressure,axial_displacement,cell_volume,back_volume,axial_load,local_axial_1_mv,local_axial_2_mv,local_radial_mv
99.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.137, -0.127, -0.119, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.137,-0.127,-0.119
100.02,Shear,,,,"[-0.255, 7.975, -7.555, -0.144, -0.136, -0.129, -0.001, -0.001]",,,7.975,-7.555,,,-0.255,-0.144,-0.136,-0.129
101.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.141, -0.122, -0.121, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.141,-0.122,-0.121
102.02,Shear,,,,"[-0.256, 7.975, -7.555, -0.143, -0.128, -0.129, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.143,-0.128,-0.129
103.02,Shear,,,,"[-0.256, 7.975, -7.555, -0.144, -0.129, -0.117, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.144,-0.129,-0.117
104.02,Shear,,,,"[-0.256, 7.975, -7.555, -0.134, -0.121, -0.119, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.134,-0.121,-0.119
105.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.143, -0.121, -0.129, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.143,-0.121,-0.129
106.02,Shear,,,,"[-0.256, 7.975, -7.555, -0.127, -0.113, -0.114, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.127,-0.113,-0.114
107.01,Shear,,,,"[-0.256, 7.975, -7.557, -0.125, -0.113, -0.11, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.125,-0.113,-0.11
108.02,Shear,,,,"[-0.256, 7.975, -7.555, -0.132, -0.114, -0.117, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.132,-0.114,-0.117
109.02,Shear,,,,"[-0.256, 7.975, -7.557, -0.153, -0.145, -0.135, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.153,-0.145,-0.135
110.02,Shear,,,,"[-0.256, 7.975, -7.555, -0.146, -0.137, -0.126, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.146,-0.137,-0.126
111.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.138, -0.125, -0.117, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.138,-0.125,-0.117
112.02,Shear,,,,"[-0.256, 7.975, -7.555, -0.137, -0.121, -0.114, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.137,-0.121,-0.114
113.02,Shear,,,,"[-0.256, 7.975, -7.555, -0.145, -0.134, -0.125, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.145,-0.134,-0.125
114.01,Shear,,,,"[-0.255, 7.975, -7.555, -0.145, -0.125, -0.121, -0.001, -0.001]",,,7.975,-7.555,,,-0.255,-0.145,-0.125,-0.121
115.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.13, -0.116, -0.122, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.13,-0.116,-0.122
116.02,Shear,,,,"[-0.256, 7.975, -7.555, -0.151, -0.131, -0.128, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.151,-0.131,-0.128
117.02,Shear,,,,"[-0.256, 7.975, -7.555, -0.147, -0.139, -0.139, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.147,-0.139,-0.139
118.02,Shear,,,,"[-0.256, 7.975, -7.555, -0.16, -0.151, -0.145, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.16,-0.151,-0.145
119.02,Shear,,,,"[-0.256, 7.975, -7.555, -0.142, -0.132, -0.133, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.142,-0.132,-0.133
120.02,Shear,,,,"[-0.256, 7.975, -7.555, -0.139, -0.129, -0.121, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.139,-0.129,-0.121
